#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.010    -98.841   -118.247   -126.823    -27.738    174.755     94.120
      0.020    -99.115   -116.495   -125.878    -27.030    175.595     95.020
      0.030    -99.381   -114.735   -124.923    -26.307    176.437     95.931
      0.040    -99.641   -112.966   -123.959    -25.567    177.284     96.853
      0.050    -99.893   -111.189   -122.986    -24.810    178.134     97.786
      0.060   -100.137   -109.403   -122.003    -24.036    178.987     98.730
      0.070   -100.373   -107.609   -121.011    -23.244    179.844     99.686
      0.080   -100.602   -105.807   -120.009    -22.435    180.704    100.654
      0.090   -100.822   -103.995   -118.998    -21.606    181.567    101.634
      0.100   -101.034   -102.175   -117.977    -20.758    182.434    102.625
      0.110   -101.237   -100.346   -116.945    -19.890    183.303    103.630
      0.120   -101.431    -98.509   -115.904    -19.001    184.174    104.646
      0.130   -101.617    -96.663   -114.852    -18.092    185.049    105.676
      0.140   -101.793    -94.808   -113.790    -17.161    185.925    106.718
      0.150   -101.960    -92.944   -112.718    -16.207    186.804    107.774
      0.160   -102.117    -91.072   -111.635    -15.231    187.684    108.843
      0.170   -102.264    -89.191   -110.541    -14.230    188.567    109.926
      0.180   -102.402    -87.301   -109.436    -13.206    189.450    111.023
      0.190   -102.528    -85.402   -108.320    -12.156    190.335    112.134
      0.200   -102.645    -83.494   -107.193    -11.080    191.221    113.259
      0.210   -102.750    -81.577   -106.055     -9.977    192.107    114.399
      0.220   -102.844    -79.652   -104.905     -8.847    192.993    115.553
      0.230   -102.927    -77.717   -103.744     -7.689    193.879    116.723
      0.240   -102.998    -75.774   -102.571     -6.501    194.764    117.907
      0.250   -103.057    -73.822   -101.386     -5.283    195.648    119.107
      0.260   -103.103    -71.861   -100.189     -4.034    196.531    120.322
      0.270   -103.137    -69.892    -98.979     -2.753    197.412    121.554
      0.280   -103.158    -67.913    -97.758     -1.439    198.289    122.801
      0.290   -103.166    -65.926    -96.523     -0.091    199.164    124.064
      0.300   -103.160    -63.930    -95.276      1.293    200.035    125.344
      0.310   -103.140    -61.925    -94.016      2.712    200.901    126.639
      0.320   -103.105    -59.912    -92.743      4.169    201.761    127.952
      0.330   -103.056    -57.890    -91.457      5.665    202.616    129.281
      0.340   -102.992    -55.860    -90.158      7.200    203.464    130.627
      0.350   -102.912    -53.821    -88.844      8.777    204.303    131.990
      0.360   -102.816    -51.774    -87.518     10.395    205.134    133.370
      0.370   -102.704    -49.718    -86.177     12.058    205.955    134.767
      0.380   -102.575    -47.654    -84.822     13.765    206.765    136.181
      0.390   -102.428    -45.583    -83.453     15.518    207.562    137.611
      0.400   -102.264    -43.503    -82.070     17.320    208.346    139.059
      0.410   -102.082    -41.416    -80.672     19.170    209.115    140.523
      0.420   -101.880    -39.321    -79.259     21.071    209.868    142.004
      0.430   -101.660    -37.219    -77.832     23.024    210.602    143.502
      0.440   -101.420    -35.109    -76.389     25.030    211.317    145.015
      0.450   -101.159    -32.992    -74.931     27.092    212.010    146.545
      0.460   -100.877    -30.869    -73.458     29.210    212.679    148.090
      0.470   -100.575    -28.739    -71.970     31.387    213.323    149.650
      0.480   -100.249    -26.603    -70.465     33.623    213.940    151.224
      0.490    -99.902    -24.460    -68.945     35.920    214.526    152.812
      0.500    -99.531    -22.312    -67.409     38.280    215.079    154.413
      0.510    -99.136    -20.159    -65.857     40.705    215.598    156.026
      0.520    -98.716    -18.001    -64.288     43.195    216.078    157.651
      0.530    -98.272    -15.838    -62.704     45.753    216.517    159.285
      0.540    -97.801    -13.670    -61.103     48.379    216.912    160.929
      0.550    -97.304    -11.500    -59.485     51.074    217.260    162.580
      0.560    -96.779     -9.326    -57.851     53.841    217.557    164.237
      0.570    -96.226     -7.149    -56.200     56.680    217.799    165.898
      0.580    -95.645     -4.970    -54.533     59.592    217.983    167.562
      0.590    -95.034     -2.789    -52.849     62.577    218.105    169.225
      0.600    -94.393     -0.608    -51.149     65.637    218.160    170.887
      0.610    -93.721      1.573    -49.431     68.772    218.144    172.544
      0.620    -93.017      3.754    -47.698     71.981    218.052    174.194
      0.630    -92.281      5.934    -45.948     75.265    217.880    175.833
      0.640    -91.512      8.112    -44.181     78.624    217.624    177.459
      0.650    -90.708     10.286    -42.398     82.055    217.277    179.068
      0.660    -89.870     12.457    -40.600     85.559    216.836    180.656
      0.670    -88.997     14.622    -38.785     89.133    216.295    182.219
      0.680    -88.087     16.782    -36.956     92.775    215.649    183.752
      0.690    -87.141     18.935    -35.111     96.483    214.893    185.252
      0.700    -86.157     21.079    -33.251    100.254    214.022    186.714
      0.710    -85.136     23.215    -31.376    104.083    213.032    188.133
      0.720    -84.075     25.339    -29.488    107.967    211.918    189.502
      0.730    -82.976     27.452    -27.587    111.900    210.675    190.818
      0.740    -81.837     29.552    -25.672    115.877    209.299    192.075
      0.750    -80.658     31.638    -23.746    119.891    207.788    193.267
      0.760    -79.439     33.707    -21.807    123.936    206.137    194.388
      0.770    -78.179     35.760    -19.858    128.004    204.344    195.434
      0.780    -76.879     37.793    -17.899    132.086    202.407    196.397
      0.790    -75.538     39.807    -15.931    136.175    200.326    197.275
      0.800    -74.156     41.799    -13.954    140.259    198.099    198.060
      0.810    -72.733     43.768    -11.970    144.331    195.727    198.749
      0.820    -71.269     45.713     -9.979    148.379    193.212    199.337
      0.830    -69.765     47.632     -7.984    152.393    190.555    199.821
      0.840    -68.221     49.523     -5.984    156.362    187.761    200.197
      0.850    -66.638     51.386     -3.980    160.276    184.832    200.464
      0.860    -65.016     53.219     -1.975    164.124    181.775    200.621
      0.870    -63.356     55.021      0.032    167.895    178.595    200.671
      0.880    -61.659     56.791      2.038    171.578    175.301    200.618
      0.890    -59.925     58.527      4.043    175.159    171.904    200.456
      0.900    -58.156     60.228      6.047    178.631    168.412    200.182
      0.910    -56.353     61.895      8.046    181.985    164.835    199.795
      0.920    -54.517     63.525     10.042    185.215    161.182    199.297
      0.930    -52.649     65.118     12.032    188.312    157.464    198.689
      0.940    -50.751     66.674     14.015    191.274    153.689    197.974
      0.950    -48.825     68.191     15.991    194.094    149.870    197.155
      0.960    -46.870     69.671     17.958    196.769    146.015    196.238
      0.970    -44.890     71.112     19.915    199.298    142.135    195.227
      0.980    -42.885     72.514     21.862    201.679    138.240    194.125
      0.990    -40.857     73.876     23.797    203.910    134.339    192.940
      1.000    -38.808     75.200     25.720    205.993    130.442    191.677
      1.010    -36.738     76.485     27.630    207.928    126.555    190.341
      1.020    -34.650     77.732     29.527    209.718    122.689    188.938
      1.030    -32.544     78.939     31.409    211.365    118.848    187.474
      1.040    -30.423     80.109     33.276    212.872    115.042    185.954
      1.050    -28.288     81.240     35.128    214.243    111.275    184.385
      1.060    -26.139     82.334     36.963    215.482    107.553    182.772
      1.070    -23.979     83.392     38.783    216.592    103.880    181.120
      1.080    -21.808     84.412     40.586    217.579    100.262    179.434
      1.090    -19.628     85.397     42.371    218.448     96.702    177.720
      1.100    -17.439     86.347     44.140    219.204     93.202    175.981
      1.110    -15.244     87.261     45.891    219.851     89.766    174.222
      1.120    -13.043     88.142     47.624    220.394     86.395    172.447
      1.130    -10.837     88.990     49.340    220.839     83.091    170.661
      1.140     -8.627     89.804     51.037    221.192     79.856    168.865
      1.150     -6.413     90.587     52.717    221.456     76.691    167.065
      1.160     -4.198     91.339     54.379    221.636     73.595    165.262
      1.170     -1.981     92.059     56.022    221.738     70.569    163.459
      1.180      0.237     92.750     57.648    221.766     67.614    161.659
      1.190      2.454     93.412     59.256    221.724     64.728    159.864
      1.200      4.671     94.045     60.845    221.617     61.911    158.077
      1.210      6.886     94.651     62.417    221.449     59.164    156.298
      1.220      9.099     95.229     63.971    221.223     56.484    154.530
      1.230     11.310     95.781     65.508    220.944     53.871    152.774
      1.240     13.518     96.307     67.027    220.615     51.324    151.031
      1.250     15.722     96.807     68.528    220.239     48.842    149.302
      1.260     17.923     97.284     70.013    219.820     46.423    147.589
      1.270     20.119     97.736     71.480    219.360     44.067    145.892
      1.280     22.310     98.165     72.931    218.863     41.771    144.213
      1.290     24.496     98.572     74.365    218.331     39.535    142.551
      1.300     26.676     98.956     75.782    217.767     37.357    140.907
      1.310     28.851     99.319     77.183    217.173     35.236    139.281
      1.320     31.019     99.661     78.568    216.551     33.170    137.675
      1.330     33.182     99.983     79.936    215.904     31.157    136.088
      1.340     35.337    100.285     81.290    215.233     29.198    134.520
      1.350     37.486    100.567     82.627    214.541     27.289    132.972
      1.360     39.628    100.831     83.949    213.829     25.429    131.443
      1.370     41.763    101.076     85.256    213.099     23.618    129.935
      1.380     43.890    101.303     86.548    212.353     21.854    128.446
      1.390     46.010    101.513     87.825    211.591     20.135    126.977
      1.400     48.122    101.706     89.087    210.815     18.461    125.527
      1.410     50.226    101.883     90.336    210.027     16.829    124.097
      1.420     52.322    102.043     91.570    209.227     15.239    122.687
      1.430     54.410    102.188     92.789    208.418     13.690    121.295
      1.440     56.491    102.317     93.996    207.599     12.179    119.923
      1.450     58.562    102.432     95.188    206.771     10.707    118.570
      1.460     60.626    102.531     96.367    205.937      9.272    117.235
      1.470     62.681    102.617     97.533    205.096      7.872    115.919
      1.480     64.728    102.689     98.686    204.249      6.508    114.621
      1.490     66.766    102.747     99.825    203.397      5.177    113.341
      1.500     68.796    102.793    100.952    202.541      3.879    112.079
      1.510     70.817    102.825    102.067    201.681      2.612    110.835
      1.520     72.829    102.845    103.169    200.818      1.377    109.608
      1.530     74.833    102.853    104.259    199.952      0.171    108.397
      1.540     76.828    102.849    105.337    199.085     -1.005    107.204
      1.550     78.815    102.833    106.403    198.216     -2.154    106.027
      1.560     80.793    102.806    107.458    197.346     -3.275    104.866
      1.570     82.762    102.768    108.501    196.475     -4.370    103.721
      1.580     84.722    102.719    109.532    195.604     -5.438    102.592
      1.590     86.674    102.659    110.553    194.733     -6.482    101.478
      1.600     88.617    102.589    111.562    193.862     -7.502    100.379
      1.610     90.551    102.509    112.560    192.992     -8.498     99.296
      1.620     92.477    102.419    113.548    192.123     -9.471     98.226
      1.630     94.394    102.320    114.525    191.255    -10.421     97.172
      1.640     96.302    102.211    115.491    190.389    -11.350     96.131
      1.650     98.201    102.093    116.448    189.524    -12.259     95.104
      1.660    100.092    101.966    117.394    188.661    -13.146     94.090
      1.670    101.975    101.830    118.330    187.801    -14.014     93.090
      1.680    103.848    101.686    119.256    186.943    -14.863     92.103
      1.690    105.713    101.533    120.172    186.087    -15.693     91.129
      1.700    107.570    101.372    121.078    185.234    -16.505     90.168
      1.710    109.418    101.203    121.975    184.383    -17.299     89.218
      1.720    111.258    101.026    122.863    183.535    -18.075     88.281
      1.730    113.089    100.841    123.741    182.691    -18.835     87.356
      1.740    114.912    100.649    124.610    181.849    -19.579     86.443
      1.750    116.726    100.450    125.470    181.011    -20.307     85.541
      1.760    118.532    100.243    126.321    180.176    -21.019     84.650
      1.770    120.329    100.030    127.163    179.344    -21.717     83.771
      1.780    122.119     99.809    127.996    178.516    -22.399     82.902
      1.790    123.900     99.582    128.821    177.691    -23.068     82.044
      1.800    125.673     99.348    129.637    176.870    -23.723     81.196
      1.810    127.437     99.107    130.445    176.052    -24.364     80.359
      1.820    129.194     98.861    131.244    175.238    -24.992     79.532
      1.830    130.942     98.608    132.036    174.428    -25.607     78.714
      1.840    132.682     98.348    132.819    173.621    -26.209     77.907
      1.850    134.414     98.083    133.594    172.818    -26.800     77.108
      1.860    136.139     97.813    134.361    172.019    -27.378     76.320
      1.870    137.855     97.536    135.120    171.224    -27.945     75.540
      1.880    139.563     97.254    135.872    170.433    -28.501     74.769
      1.890    141.263     96.966    136.616    169.645    -29.045     74.008
      1.900    142.956     96.673    137.352    168.862    -29.579     73.255
      1.910    144.641     96.374    138.081    168.082    -30.103     72.510
      1.920    146.318     96.071    138.802    167.306    -30.616     71.774
      1.930    147.987     95.762    139.516    166.534    -31.119     71.046
      1.940    149.648     95.448    140.223    165.766    -31.613     70.326
      1.950    151.302     95.130    140.923    165.002    -32.097     69.615
      1.960    152.948     94.807    141.615    164.241    -32.571     68.911
      1.970    154.587     94.479    142.301    163.485    -33.037     68.214
      1.980    156.218     94.146    142.980    162.732    -33.494     67.525
      1.990    157.842     93.809    143.652    161.983    -33.942     66.844
      2.000    159.458     93.467    144.317    161.238    -34.382     66.170
      2.010    161.066     93.121    144.975    160.497    -34.813     65.503
      2.020    162.668     92.771    145.627    159.760    -35.236     64.843
      2.030    164.262     92.416    146.272    159.026    -35.652     64.190
      2.040    165.848     92.058    146.911    158.296    -36.060     63.543
      2.050    167.428     91.695    147.543    157.570    -36.460     62.904
      2.060    169.000     91.329    148.169    156.848    -36.853     62.271
      2.070    170.565     90.958    148.788    156.130    -37.239     61.644
      2.080    172.122     90.584    149.402    155.415    -37.617     61.024
      2.090    173.673     90.206    150.009    154.704    -37.989     60.410
      2.100    175.216     89.824    150.610    153.996    -38.354     59.802
      2.110    176.753     89.439    151.205    153.293    -38.713     59.200
      2.120    178.282     89.050    151.794    152.592    -39.065     58.604
      2.130    179.805     88.658    152.377    151.896    -39.410     58.014
      2.140    181.320     88.262    152.954    151.203    -39.750     57.430
      2.150    182.829     87.863    153.526    150.514    -40.083     56.851
      2.160    184.330     87.460    154.091    149.828    -40.411     56.278
      2.170    185.825     87.054    154.651    149.145    -40.732     55.710
      2.180    187.313     86.646    155.205    148.466    -41.048     55.148
      2.190    188.795     86.234    155.754    147.791    -41.359     54.591
      2.200    190.269     85.818    156.297    147.119    -41.664     54.039
      2.210    191.737     85.400    156.835    146.450    -41.964     53.493
      2.220    193.198     84.979    157.367    145.785    -42.258     52.951
      2.230    194.653     84.555    157.894    145.123    -42.547     52.414
      2.240    196.101     84.128    158.415    144.464    -42.832     51.882
      2.250    197.542     83.699    158.932    143.809    -43.111     51.356
      2.260    198.977     83.266    159.443    143.157    -43.386     50.833
      2.270    200.405     82.831    159.948    142.508    -43.656     50.316
      2.280    201.827     82.393    160.449    141.863    -43.921     49.803
      2.290    203.243     81.952    160.944    141.220    -44.181     49.294
      2.300    204.652     81.509    161.435    140.581    -44.438     48.790
      2.310    206.054     81.064    161.920    139.945    -44.689     48.291
      2.320    207.450     80.616    162.401    139.312    -44.937     47.796
      2.330    208.840     80.165    162.876    138.682    -45.180     47.305
      2.340    210.224     79.712    163.347    138.055    -45.419     46.818
      2.350    211.602     79.257    163.813    137.431    -45.654     46.335
      2.360    212.973     78.799    164.274    136.810    -45.885     45.857
      2.370    214.338     78.339    164.730    136.193    -46.113     45.382
      2.380    215.697     77.877    165.181    135.578    -46.336     44.911
      2.390    217.049     77.412    165.628    134.966    -46.556     44.445
      2.400    218.396     76.946    166.070    134.357    -46.772     43.982
      2.410    219.736     76.477    166.508    133.750    -46.984     43.523
      2.420    221.071     76.006    166.941    133.147    -47.193     43.067
      2.430    222.399     75.533    167.369    132.547    -47.398     42.616
      2.440    223.722     75.058    167.793    131.949    -47.599     42.168
      2.450    225.038     74.581    168.212    131.354    -47.798     41.723
      2.460    226.349     74.102    168.627    130.762    -47.993     41.282
      2.470    227.654     73.621    169.038    130.172    -48.185     40.845
      2.480    228.952     73.138    169.444    129.585    -48.373     40.411
      2.490    230.245     72.654    169.846    129.001    -48.559     39.980
      2.500    231.533     72.167    170.244    128.420    -48.741     39.553
      2.510    232.814     71.679    170.637    127.841    -48.921     39.129
      2.520    234.089     71.189    171.027    127.265    -49.097     38.708
      2.530    235.359     70.697    171.412    126.691    -49.270     38.291
      2.540    236.623     70.203    171.792    126.120    -49.441     37.877
      2.550    237.882     69.708    172.169    125.551    -49.608     37.465
      2.560    239.134     69.211    172.542    124.985    -49.773     37.057
      2.570    240.381     68.713    172.910    124.421    -49.935     36.652
      2.580    241.623     68.213    173.275    123.860    -50.095     36.250
      2.590    242.858     67.711    173.635    123.302    -50.252     35.851
      2.600    244.089     67.208    173.992    122.745    -50.406     35.455
      2.610    245.313     66.703    174.344    122.191    -50.557     35.061
      2.620    246.533     66.196    174.693    121.640    -50.706     34.671
      2.630    247.746     65.689    175.038    121.091    -50.853     34.283
      2.640    248.954     65.179    175.379    120.544    -50.997     33.898
      2.650    250.157     64.669    175.716    119.999    -51.139     33.516
      2.660    251.354     64.157    176.049    119.457    -51.278     33.136
      2.670    252.546     63.643    176.379    118.917    -51.415     32.759
      2.680    253.733     63.128    176.704    118.379    -51.549     32.385
      2.690    254.914     62.612    177.026    117.844    -51.682     32.013
      2.700    256.090     62.095    177.345    117.310    -51.812     31.644
      2.710    257.260     61.576    177.659    116.779    -51.940     31.278
      2.720    258.425     61.056    177.970    116.250    -52.066     30.914
      2.730    259.585     60.535    178.277    115.723    -52.189     30.552
      2.740    260.740     60.012    178.581    115.199    -52.311     30.193
      2.750    261.889     59.488    178.881    114.676    -52.430     29.837
      2.760    263.033     58.964    179.178    114.156    -52.548     29.482
      2.770    264.172     58.438    179.471    113.637    -52.663     29.130
      2.780    265.306     57.910    179.761    113.121    -52.777     28.781
      2.790    266.435     57.382    180.047    112.606    -52.888     28.433
      2.800    267.558     56.853    180.329    112.094    -52.998     28.088
      2.810    268.676     56.322    180.608    111.583    -53.106     27.745
      2.820    269.790     55.790    180.884    111.075    -53.212     27.405
      2.830    270.898     55.258    181.156    110.569    -53.316     27.066
      2.840    272.001     54.724    181.425    110.064    -53.418     26.730
      2.850    273.099     54.189    181.691    109.561    -53.518     26.396
      2.860    274.192     53.654    181.953    109.061    -53.617     26.064
      2.870    275.280     53.117    182.212    108.562    -53.714     25.734
      2.880    276.364     52.580    182.468    108.065    -53.809     25.406
      2.890    277.442     52.041    182.721    107.570    -53.903     25.081
      2.900    278.515     51.502    182.970    107.077    -53.994     24.757
      2.910    279.583     50.961    183.216    106.585    -54.085     24.435
      2.920    280.647     50.420    183.458    106.095    -54.173     24.115
      2.930    281.705     49.878    183.698    105.608    -54.260     23.797
      2.940    282.759     49.335    183.934    105.122    -54.346     23.481
      2.950    283.808     48.791    184.168    104.637    -54.430     23.167
      2.960    284.852     48.246    184.398    104.155    -54.512     22.855
      2.970    285.891     47.701    184.625    103.674    -54.593     22.545
      2.980    286.925     47.154    184.849    103.195    -54.672     22.236
      2.990    287.955     46.607    185.069    102.717    -54.750     21.930
      3.000    288.979     46.059    185.287    102.241    -54.826     21.625
      3.010    290.000     45.511    185.502    101.767    -54.901     21.322
      3.020    291.015     44.961    185.714    101.295    -54.975     21.021
      3.030    292.025     44.411    185.922    100.824    -55.047     20.721
      3.040    293.031     43.860    186.128    100.355    -55.118     20.423
      3.050    294.033     43.309    186.331     99.887    -55.187     20.127
      3.060    295.029     42.756    186.531     99.421    -55.256     19.833
      3.070    296.021     42.204    186.728     98.956    -55.322     19.540
      3.080    297.008     41.650    186.921     98.493    -55.388     19.249
      3.090    297.991     41.096    187.113     98.032    -55.452     18.960
      3.100    298.969     40.541    187.301     97.572    -55.515     18.672
      3.110    299.942     39.986    187.486     97.114    -55.576     18.386
      3.120    300.911     39.429    187.668     96.657    -55.637     18.101
      3.130    301.875     38.873    187.848     96.202    -55.696     17.818
      3.140    302.835     38.316    188.025     95.748    -55.754     17.536
      3.150    303.790     37.758    188.199     95.296    -55.811     17.256
      3.160    304.741     37.199    188.370     94.845    -55.866     16.978
      3.170    305.687     36.640    188.538     94.395    -55.920     16.701
      3.180    306.629     36.081    188.704     93.947    -55.974     16.425
      3.190    307.566     35.521    188.867     93.501    -56.026     16.151
      3.200    308.499     34.960    189.027     93.055    -56.077     15.879
      3.210    309.427     34.399    189.184     92.612    -56.127     15.608
      3.220    310.351     33.838    189.339     92.169    -56.175     15.338
      3.230    311.271     33.276    189.491     91.728    -56.223     15.070
      3.240    312.186     32.713    189.641     91.288    -56.269     14.803
      3.250    313.097     32.151    189.787     90.850    -56.315     14.537
      3.260    314.003     31.587    189.931     90.413    -56.359     14.273
      3.270    314.905     31.023    190.073     89.977    -56.403     14.011
      3.280    315.802     30.459    190.211     89.543    -56.445     13.749
      3.290    316.696     29.894    190.348     89.110    -56.486     13.489
      3.300    317.585     29.329    190.481     88.678    -56.527     13.230
      3.310    318.469     28.764    190.612     88.248    -56.566     12.973
      3.320    319.350     28.198    190.741     87.818    -56.604     12.717
      3.330    320.226     27.632    190.867     87.390    -56.642     12.462
      3.340    321.097     27.065    190.990     86.964    -56.678     12.208
      3.350    321.965     26.498    191.111     86.538    -56.714     11.956
      3.360    322.828     25.931    191.229     86.114    -56.748     11.705
      3.370    323.687     25.363    191.345     85.691    -56.782     11.455
      3.380    324.542     24.795    191.458     85.269    -56.814     11.206
      3.390    325.393     24.227    191.569     84.848    -56.846     10.959
      3.400    326.239     23.658    191.677     84.429    -56.877     10.713
      3.410    327.081     23.090    191.783     84.010    -56.907     10.467
      3.420    327.919     22.520    191.887     83.593    -56.936     10.224
      3.430    328.753     21.951    191.988     83.177    -56.964      9.981
      3.440    329.583     21.381    192.086     82.762    -56.991      9.739
      3.450    330.408     20.811    192.183     82.348    -57.018      9.499
      3.460    331.230     20.241    192.276     81.936    -57.043      9.260
      3.470    332.047     19.670    192.368     81.524    -57.068      9.021
      3.480    332.860     19.099    192.457     81.114    -57.092      8.784
      3.490    333.669     18.528    192.543     80.705    -57.115      8.548
      3.500    334.474     17.957    192.628     80.296    -57.137      8.313
      3.510    335.275     17.386    192.710     79.889    -57.159      8.080
      3.520    336.072     16.814    192.789     79.483    -57.180      7.847
      3.530    336.865     16.242    192.867     79.078    -57.199      7.615
      3.540    337.654     15.670    192.942     78.674    -57.219      7.385
      3.550    338.438     15.098    193.014     78.271    -57.237      7.155
      3.560    339.219     14.525    193.085     77.869    -57.254      6.927
      3.570    339.996     13.953    193.153     77.468    -57.271      6.699
      3.580    340.768     13.380    193.219     77.069    -57.287      6.473
      3.590    341.537     12.807    193.282     76.670    -57.303      6.247
      3.600    342.302     12.234    193.344     76.272    -57.317      6.023
      3.610    343.063     11.660    193.403     75.875    -57.331      5.799
      3.620    343.819     11.087    193.460     75.479    -57.344      5.576
      3.630    344.572     10.514    193.514     75.084    -57.357      5.355
      3.640    345.321      9.940    193.567     74.690    -57.368      5.134
      3.650    346.066      9.366    193.617     74.297    -57.379      4.915
      3.660    346.807      8.792    193.665     73.905    -57.389      4.696
      3.670    347.544      8.218    193.711     73.514    -57.399      4.478
      3.680    348.277      7.644    193.755     73.124    -57.408      4.261
      3.690    349.007      7.070    193.796     72.735    -57.416      4.045
      3.700    349.732      6.496    193.836     72.347    -57.424      3.830
      3.710    350.454      5.922    193.873     71.959    -57.431      3.616
      3.720    351.171      5.347    193.908     71.573    -57.437      3.403
      3.730    351.885      4.773    193.941     71.187    -57.442      3.191
      3.740    352.595      4.199    193.972     70.803    -57.447      2.979
      3.750    353.301      3.624    194.000     70.419    -57.451      2.769
      3.760    354.003      3.050    194.027     70.036    -57.455      2.559
      3.770    354.702      2.475    194.052     69.654    -57.458      2.350
      3.780    355.396      1.900    194.074     69.273    -57.460      2.142
      3.790    356.087      1.326    194.095     68.892    -57.462      1.935
      3.800    356.774      0.751    194.113     68.513    -57.463      1.729
      3.810    357.457      0.177    194.129     68.134    -57.464      1.523
      3.820    358.137     -0.398    194.143     67.756    -57.464      1.319
      3.830    358.813     -0.973    194.155     67.379    -57.463      1.115
      3.840    359.484     -1.547    194.166     67.003    -57.462      0.912
      3.850    360.153     -2.122    194.174     66.627    -57.460      0.710
      3.860    360.817     -2.697    194.180     66.253    -57.457      0.508
      3.870    361.478     -3.271    194.184     65.879    -57.454      0.308
      3.880    362.135     -3.846    194.186     65.506    -57.450      0.108
      3.890    362.788     -4.420    194.186     65.134    -57.446     -0.091
      3.900    363.437     -4.995    194.184     64.762    -57.441     -0.289
      3.910    364.083     -5.569    194.180     64.392    -57.436     -0.487
      3.920    364.725     -6.143    194.174     64.022    -57.430     -0.684
      3.930    365.364     -6.717    194.167     63.653    -57.424     -0.880
      3.940    365.998     -7.292    194.157     63.284    -57.416     -1.075
      3.950    366.629     -7.866    194.145     62.917    -57.409     -1.269
      3.960    367.257     -8.440    194.131     62.550    -57.401     -1.463
      3.970    367.880     -9.014    194.116     62.184    -57.392     -1.656
      3.980    368.500     -9.588    194.098     61.818    -57.383     -1.848
      3.990    369.117    -10.161    194.079     61.453    -57.373     -2.040
      4.000    369.729    -10.735    194.058     61.089    -57.363     -2.231
      4.010    370.338    -11.309    194.034     60.726    -57.352     -2.421
      4.020    370.944    -11.882    194.009     60.363    -57.341     -2.611
      4.030    371.546    -12.456    193.982     60.002    -57.329     -2.799
      4.040    372.144    -13.029    193.953     59.640    -57.316     -2.987
      4.050    372.738    -13.602    193.922     59.280    -57.303     -3.175
      4.060    373.329    -14.175    193.890     58.920    -57.290     -3.361
      4.070    373.917    -14.748    193.855     58.561    -57.276     -3.547
      4.080    374.501    -15.320    193.819     58.202    -57.262     -3.733
      4.090    375.081    -15.893    193.780     57.845    -57.247     -3.917
      4.100    375.658    -16.465    193.740     57.487    -57.231     -4.102
      4.110    376.231    -17.038    193.698     57.131    -57.216     -4.285
      4.120    376.800    -17.610    193.655     56.775    -57.199     -4.468
      4.130    377.366    -18.181    193.609     56.420    -57.182     -4.650
      4.140    377.929    -18.753    193.562     56.065    -57.165     -4.831
      4.150    378.487    -19.325    193.512     55.711    -57.147     -5.012
      4.160    379.043    -19.896    193.461     55.358    -57.129     -5.192
      4.170    379.595    -20.467    193.409     55.005    -57.110     -5.372
      4.180    380.143    -21.038    193.354     54.653    -57.091     -5.551
      4.190    380.688    -21.609    193.298     54.301    -57.071     -5.729
      4.200    381.229    -22.180    193.239     53.951    -57.051     -5.907
      4.210    381.767    -22.750    193.179     53.600    -57.030     -6.084
      4.220    382.301    -23.320    193.118     53.251    -57.009     -6.260
      4.230    382.832    -23.890    193.054     52.901    -56.988     -6.436
      4.240    383.359    -24.460    192.989     52.553    -56.966     -6.611
      4.250    383.883    -25.030    192.922     52.205    -56.943     -6.786
      4.260    384.403    -25.599    192.853     51.858    -56.920     -6.960
      4.270    384.920    -26.168    192.783     51.511    -56.897     -7.134
      4.280    385.433    -26.737    192.711     51.165    -56.873     -7.306
      4.290    385.943    -27.306    192.637     50.819    -56.849     -7.479
      4.300    386.450    -27.874    192.561     50.474    -56.824     -7.651
      4.310    386.953    -28.442    192.484     50.129    -56.799     -7.822
      4.320    387.452    -29.010    192.405     49.785    -56.774     -7.993
      4.330    387.948    -29.578    192.324     49.442    -56.748     -8.163
      4.340    388.441    -30.145    192.241     49.099    -56.721     -8.332
      4.350    388.930    -30.712    192.157     48.756    -56.695     -8.501
      4.360    389.416    -31.279    192.071     48.414    -56.667     -8.670
      4.370    389.899    -31.845    191.984     48.073    -56.640     -8.838
      4.380    390.378    -32.412    191.895     47.732    -56.612     -9.005
      4.390    390.853    -32.978    191.804     47.392    -56.583     -9.172
      4.400    391.326    -33.543    191.711     47.052    -56.554     -9.338
      4.410    391.794    -34.109    191.617     46.713    -56.525     -9.504
      4.420    392.260    -34.674    191.521     46.374    -56.495     -9.669
      4.430    392.722    -35.239    191.424     46.035    -56.465     -9.834
      4.440    393.180    -35.803    191.324     45.698    -56.435     -9.998
      4.450    393.636    -36.367    191.224     45.360    -56.404    -10.162
      4.460    394.088    -36.931    191.121     45.023    -56.372    -10.325
      4.470    394.536    -37.495    191.017     44.687    -56.341    -10.488
      4.480    394.981    -38.058    190.911     44.351    -56.308    -10.650
      4.490    395.423    -38.621    190.804     44.015    -56.276    -10.812
      4.500    395.862    -39.183    190.695     43.680    -56.243    -10.973
      4.510    396.297    -39.746    190.585     43.346    -56.210    -11.134
      4.520    396.729    -40.308    190.473     43.012    -56.176    -11.294
      4.530    397.157    -40.869    190.359     42.678    -56.142    -11.454
      4.540    397.582    -41.430    190.243     42.345    -56.107    -11.613
      4.550    398.004    -41.991    190.127     42.012    -56.072    -11.772
